Pool,Pool Notes,Application,Window,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Terminal,paper — bash — 80×24,"1,493,489,641.85","1,493,489,654.71"
,,Finder,,"1,493,489,655.69","1,493,489,708.41"
,,Finder,Applications,"1,493,489,655.69","1,493,489,656.68"
Finder,,,,"1,493,489,655.69","1,493,489,708.41"
Finder,,Finder,,"1,493,489,655.69","1,493,489,708.41"
Paper,,Finder,,"1,493,489,655.69","1,493,489,708.41"
,,Finder,mp,"1,493,489,657.67","1,493,489,664.60"
,,Finder,paper,"1,493,489,665.59","1,493,489,669.55"
,,Finder,reports,"1,493,489,670.54","1,493,489,698.52"
,,Finder,Copy,"1,493,489,699.51","1,493,489,700.50"
,,Finder,reports,"1,493,489,701.49","1,493,489,708.41"
,,Terminal,,"1,493,489,709.40","1,493,489,732.18"
,,Terminal,paper — bash — 80×24,"1,493,489,709.40","1,493,489,732.18"
Terminal,,,,"1,493,489,709.40","1,493,489,732.18"
Terminal,,Terminal,,"1,493,489,709.40","1,493,489,732.18"
Paper,,Terminal,,"1,493,489,709.40","1,493,489,732.18"
,,Google Chrome,,"1,493,489,733.16","1,493,489,734.15"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,489,733.16","1,493,489,734.15"
Paper,,Google Chrome,,"1,493,489,733.16","1,493,489,734.15"
,,Terminal,,"1,493,489,735.14","1,493,489,760.86"
,,Terminal,paper — bash — 80×24,"1,493,489,735.14","1,493,489,760.86"
Terminal,,,,"1,493,489,735.14","1,493,489,760.86"
Terminal,,Terminal,,"1,493,489,735.14","1,493,489,760.86"
Paper,,Terminal,,"1,493,489,735.14","1,493,489,760.86"
,,Finder,,"1,493,489,761.85","1,493,489,780.64"
Finder,,,,"1,493,489,761.85","1,493,489,780.64"
Finder,,Finder,,"1,493,489,761.85","1,493,489,780.64"
Paper,,Finder,,"1,493,489,761.85","1,493,489,780.64"
,,Finder,mp,"1,493,489,762.84","1,493,489,767.77"
,,Finder,paper,"1,493,489,768.77","1,493,489,769.75"
,,Finder,reports,"1,493,489,770.74","1,493,489,771.73"
,,Finder,paper,"1,493,489,772.72","1,493,489,780.64"
,,Google Chrome,,"1,493,489,781.62","1,493,489,794.49"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,489,781.62","1,493,489,794.49"
Paper,,Google Chrome,,"1,493,489,781.62","1,493,489,794.49"
,,Finder,,"1,493,489,795.48","1,493,489,803.39"
,,Finder,paper,"1,493,489,795.48","1,493,489,803.39"
Finder,,,,"1,493,489,795.48","1,493,489,803.39"
Finder,,Finder,,"1,493,489,795.48","1,493,489,803.39"
Paper,,Finder,,"1,493,489,795.48","1,493,489,803.39"
,,Terminal,,"1,493,489,804.38","1,493,489,814.28"
,,Terminal,paper — bash — 80×24,"1,493,489,804.38","1,493,489,814.28"
Terminal,,,,"1,493,489,804.38","1,493,489,814.28"
Terminal,,Terminal,,"1,493,489,804.38","1,493,489,814.28"
Paper,,Terminal,,"1,493,489,804.38","1,493,489,814.28"
,,Google Chrome,,"1,493,489,815.27","1,493,489,843.98"
Paper,,Google Chrome,,"1,493,489,815.27","1,493,489,843.98"
,,Google Chrome,New Tab,"1,493,489,816.26","1,493,489,821.20"
,,Google Chrome,git branches in finder - Google Search,"1,493,489,822.19","1,493,489,825.19"
,,Google Chrome,Don't get Git branches displayed in Finder? | Treehouse Community,"1,493,489,826.18","1,493,489,843.98"
,,Terminal,,"1,493,489,844.97","1,493,489,845.96"
,,Terminal,paper — bash — 80×24,"1,493,489,844.97","1,493,489,845.96"
Terminal,,,,"1,493,489,844.97","1,493,489,845.96"
Terminal,,Terminal,,"1,493,489,844.97","1,493,489,845.96"
Paper,,Terminal,,"1,493,489,844.97","1,493,489,845.96"
,,Finder,,"1,493,489,846.95","1,493,489,848.92"
,,Finder,paper,"1,493,489,846.95","1,493,489,848.92"
Finder,,,,"1,493,489,846.95","1,493,489,848.92"
Finder,,Finder,,"1,493,489,846.95","1,493,489,848.92"
Paper,,Finder,,"1,493,489,846.95","1,493,489,848.92"
,,Google Chrome,,"1,493,489,849.91","1,493,489,855.85"
,,Google Chrome,Don't get Git branches displayed in Finder? | Treehouse Community,"1,493,489,849.91","1,493,489,850.90"
Paper,,Google Chrome,,"1,493,489,849.91","1,493,489,855.85"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,489,851.89","1,493,489,855.85"
,,Finder,,"1,493,489,856.83","1,493,489,861.78"
,,Finder,paper,"1,493,489,856.83","1,493,489,861.78"
Finder,,,,"1,493,489,856.83","1,493,489,861.78"
Finder,,Finder,,"1,493,489,856.83","1,493,489,861.78"
Paper,,Finder,,"1,493,489,856.83","1,493,489,861.78"
,,Terminal,,"1,493,489,862.77","1,493,489,894.44"
,,Terminal,paper — bash — 80×24,"1,493,489,862.77","1,493,489,894.44"
Terminal,,,,"1,493,489,862.77","1,493,489,894.44"
Terminal,,Terminal,,"1,493,489,862.77","1,493,489,894.44"
Paper,,Terminal,,"1,493,489,862.77","1,493,489,894.44"
,,Finder,,"1,493,489,895.43","1,493,489,919.46"
,,Finder,reports,"1,493,489,895.43","1,493,489,896.42"
Finder,,,,"1,493,489,895.43","1,493,489,919.46"
Finder,,Finder,,"1,493,489,895.43","1,493,489,919.46"
Paper,,Finder,,"1,493,489,895.43","1,493,489,919.46"
,,Finder,paper,"1,493,489,897.41","1,493,489,917.48"
,,Finder,reports,"1,493,489,918.47","1,493,489,919.46"
,,LibreOffice,,"1,493,489,920.44","1,493,489,971.03"
LibreOffice,,,,"1,493,489,920.44","1,493,489,971.03"
LibreOffice,,LibreOffice,,"1,493,489,920.44","1,493,489,971.03"
,,LibreOffice,2017-04-29.csv,"1,493,489,922.42","1,493,489,943.47"
,,LibreOffice,,"1,493,489,973.07","1,493,489,979.20"
,,LibreOffice,Text Import - [2017-04-29.csv],"1,493,489,973.07","1,493,489,974.09"
LibreOffice,,,,"1,493,489,973.07","1,493,489,979.20"
LibreOffice,,LibreOffice,,"1,493,489,973.07","1,493,489,979.20"
,,Finder,,"1,493,489,980.21","1,493,489,985.28"
,,Finder,reports,"1,493,489,980.21","1,493,489,985.28"
Finder,,,,"1,493,489,980.21","1,493,489,985.28"
Finder,,Finder,,"1,493,489,980.21","1,493,489,985.28"
Paper,,,,"1,493,489,980.21","1,493,489,985.28"
Paper,,Finder,,"1,493,489,980.21","1,493,489,985.28"
,,Finder,,"1,493,489,987.32","1,493,490,011.94"
,,Finder,reports,"1,493,489,987.32","1,493,490,011.94"
Finder,,,,"1,493,489,987.32","1,493,490,011.94"
Finder,,Finder,,"1,493,489,987.32","1,493,490,011.94"
Paper,,,,"1,493,489,987.32","1,493,490,011.94"
Paper,,Finder,,"1,493,489,987.32","1,493,490,011.94"
,,LibreOffice,,"1,493,490,012.96","1,493,490,045.88"
,,LibreOffice,Text Import - [test.csv],"1,493,490,012.96","1,493,490,013.98"
LibreOffice,,,,"1,493,490,012.96","1,493,490,045.88"
LibreOffice,,LibreOffice,,"1,493,490,012.96","1,493,490,045.88"
,,LibreOffice,test.csv,"1,493,490,015.00","1,493,490,044.84"
Paper,,,,"1,493,490,046.92","1,493,493,946.63"
,,Terminal,,"1,493,490,047.95","1,493,490,050.02"
,,Terminal,paper — bash — 80×24,"1,493,490,047.95","1,493,490,050.02"
Terminal,,,,"1,493,490,047.95","1,493,490,050.02"
Terminal,,Terminal,,"1,493,490,047.95","1,493,490,050.02"
Paper,,Terminal,,"1,493,490,047.95","1,493,490,050.02"
,,TextEdit,,"1,493,490,051.06","1,493,490,168.79"
,,TextEdit,Untitled 11,"1,493,490,051.06","1,493,490,052.10"
Paper,,TextEdit,,"1,493,490,051.06","1,493,490,168.79"
TextEdit,,,,"1,493,490,051.06","1,493,490,168.79"
TextEdit,,TextEdit,,"1,493,490,051.06","1,493,490,168.79"
,,TextEdit,proposal.txt,"1,493,490,053.14","1,493,490,055.22"
,,TextEdit,tools.rtf,"1,493,490,056.25","1,493,490,168.79"
,,Terminal,,"1,493,490,169.83","1,493,490,199.91"
,,Terminal,paper — bash — 80×24,"1,493,490,169.83","1,493,490,199.91"
Terminal,,,,"1,493,490,169.83","1,493,490,199.91"
Terminal,,Terminal,,"1,493,490,169.83","1,493,490,199.91"
Paper,,Terminal,,"1,493,490,169.83","1,493,490,199.91"
,,TextEdit,,"1,493,490,200.95","1,493,490,210.29"
,,TextEdit,tools.rtf,"1,493,490,200.95","1,493,490,210.29"
Paper,,TextEdit,,"1,493,490,200.95","1,493,490,210.29"
TextEdit,,,,"1,493,490,200.95","1,493,490,210.29"
TextEdit,,TextEdit,,"1,493,490,200.95","1,493,490,210.29"
,,Terminal,,"1,493,490,211.33","1,493,490,244.56"
,,Terminal,paper — bash — 80×24,"1,493,490,211.33","1,493,490,236.26"
Terminal,,,,"1,493,490,211.33","1,493,490,244.56"
Terminal,,Terminal,,"1,493,490,211.33","1,493,490,244.56"
Paper,,Terminal,,"1,493,490,211.33","1,493,490,244.56"
,,Terminal,paper — git — 80×24,"1,493,490,238.35","1,493,490,239.38"
,,Terminal,paper — bash — 80×24,"1,493,490,240.42","1,493,490,244.56"
,,TextEdit,,"1,493,490,245.59","1,493,490,430.22"
,,TextEdit,Untitled 11,"1,493,490,245.59","1,493,490,259.08"
Paper,,TextEdit,,"1,493,490,245.59","1,493,490,430.22"
TextEdit,,,,"1,493,490,245.59","1,493,490,430.22"
TextEdit,,TextEdit,,"1,493,490,245.59","1,493,490,430.22"
,,TextEdit,proposal.txt,"1,493,490,260.11","1,493,490,274.63"
,,TextEdit,plan for using this git.rtf,"1,493,490,276.71","1,493,490,393.93"
,,TextEdit,proposal.txt,"1,493,490,394.97","1,493,490,430.22"
,,Terminal,,"1,493,490,431.25","1,493,490,463.41"
,,Terminal,paper — bash — 80×24,"1,493,490,431.25","1,493,490,432.29"
Terminal,,,,"1,493,490,431.25","1,493,490,463.41"
Terminal,,Terminal,,"1,493,490,431.25","1,493,490,463.41"
Paper,,Terminal,,"1,493,490,431.25","1,493,490,463.41"
,,Terminal,paper — less — 80×24,"1,493,490,433.32","1,493,490,455.10"
,,Terminal,mp — bash — 80×24,"1,493,490,458.21","1,493,490,459.24"
,,Terminal,paper — bash — 80×24,"1,493,490,460.30","1,493,490,463.41"
,,TextEdit,,"1,493,490,464.45","1,493,490,503.89"
,,TextEdit,plan for using this git.rtf,"1,493,490,464.45","1,493,490,470.67"
Paper,,TextEdit,,"1,493,490,464.45","1,493,490,503.89"
TextEdit,,,,"1,493,490,464.45","1,493,490,503.89"
TextEdit,,TextEdit,,"1,493,490,464.45","1,493,490,503.89"
,,TextEdit,Untitled 11,"1,493,490,471.71","1,493,490,494.54"
,,TextEdit,proposal.txt,"1,493,490,495.58","1,493,490,499.73"
,,TextEdit,Untitled 11,"1,493,490,500.78","1,493,490,501.81"
,,Terminal,,"1,493,490,504.93","1,493,490,577.51"
,,Terminal,paper — bash — 80×24,"1,493,490,504.93","1,493,490,577.51"
Terminal,,,,"1,493,490,504.93","1,493,490,577.51"
Terminal,,Terminal,,"1,493,490,504.93","1,493,490,577.51"
Paper,,Terminal,,"1,493,490,504.93","1,493,490,577.51"
,,Finder,,"1,493,490,578.56","1,493,490,580.63"
,,Finder,mp,"1,493,490,578.56","1,493,490,580.63"
Finder,,,,"1,493,490,578.56","1,493,490,580.63"
Finder,,Finder,,"1,493,490,578.56","1,493,490,580.63"
Paper,,Finder,,"1,493,490,578.56","1,493,490,580.63"
,,Google Chrome,,"1,493,490,581.66","1,493,490,602.40"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,490,581.66","1,493,490,602.40"
Paper,,Google Chrome,,"1,493,490,581.66","1,493,490,602.40"
,,Finder,,"1,493,490,603.43","1,493,490,604.47"
,,Finder,mp,"1,493,490,603.43","1,493,490,604.47"
Finder,,,,"1,493,490,603.43","1,493,490,604.47"
Finder,,Finder,,"1,493,490,603.43","1,493,490,604.47"
Paper,,Finder,,"1,493,490,603.43","1,493,490,604.47"
,,Terminal,,"1,493,490,606.55","1,493,490,652.18"
,,Terminal,paper — bash — 80×24,"1,493,490,606.55","1,493,490,617.95"
Terminal,,,,"1,493,490,606.55","1,493,490,652.18"
Terminal,,Terminal,,"1,493,490,606.55","1,493,490,652.18"
Paper,,Terminal,,"1,493,490,606.55","1,493,490,652.18"
,,Terminal,paper — git — 80×24,"1,493,490,618.98","1,493,490,620.03"
,,Terminal,paper — bash — 80×24,"1,493,490,621.06","1,493,490,652.18"
,,Google Chrome,,"1,493,490,653.22","1,493,490,690.59"
Paper,,Google Chrome,,"1,493,490,653.22","1,493,490,690.59"
,,Google Chrome,michaelpalumbo/paper,"1,493,490,654.25","1,493,490,667.75"
,,Google Chrome,michaelpalumbo/paper at proposal,"1,493,490,668.78","1,493,490,672.94"
,,Google Chrome,michaelpalumbo/paper,"1,493,490,673.98","1,493,490,676.05"
,,Google Chrome,Branches · michaelpalumbo/paper,"1,493,490,677.10","1,493,490,690.59"
,,Terminal,,"1,493,490,691.63","1,493,490,698.90"
,,Terminal,paper — bash — 80×24,"1,493,490,691.63","1,493,490,698.90"
Terminal,,,,"1,493,490,691.63","1,493,490,698.90"
Terminal,,Terminal,,"1,493,490,691.63","1,493,490,698.90"
Paper,,Terminal,,"1,493,490,691.63","1,493,490,698.90"
,,TextEdit,,"1,493,490,699.93","1,493,490,708.24"
,,TextEdit,Untitled 11,"1,493,490,699.93","1,493,490,708.24"
Paper,,TextEdit,,"1,493,490,699.93","1,493,490,708.24"
TextEdit,,,,"1,493,490,699.93","1,493,490,708.24"
TextEdit,,TextEdit,,"1,493,490,699.93","1,493,490,708.24"
,,Finder,,"1,493,490,709.28","1,493,490,710.32"
,,Finder,mp,"1,493,490,709.28","1,493,490,710.32"
Finder,,,,"1,493,490,709.28","1,493,490,710.32"
Finder,,Finder,,"1,493,490,709.28","1,493,490,710.32"
Paper,,Finder,,"1,493,490,709.28","1,493,490,710.32"
,,Google Chrome,,"1,493,490,711.35","1,493,490,720.69"
,,Google Chrome,New Tab,"1,493,490,711.35","1,493,490,715.50"
Paper,,Google Chrome,,"1,493,490,711.35","1,493,490,720.69"
,,Google Chrome,use terminal to open a file - Google Search,"1,493,490,716.54","1,493,490,720.69"
,,Terminal,,"1,493,490,721.73","1,493,490,724.85"
,,Terminal,paper — bash — 80×24,"1,493,490,721.73","1,493,490,724.85"
Terminal,,,,"1,493,490,721.73","1,493,490,724.85"
Terminal,,Terminal,,"1,493,490,721.73","1,493,490,724.85"
Paper,,Terminal,,"1,493,490,721.73","1,493,490,724.85"
,,TextEdit,,"1,493,490,725.89","1,493,490,776.77"
,,TextEdit,proposal.txt,"1,493,490,725.89","1,493,490,743.54"
Paper,,TextEdit,,"1,493,490,725.89","1,493,490,776.77"
TextEdit,,,,"1,493,490,725.89","1,493,490,776.77"
TextEdit,,TextEdit,,"1,493,490,725.89","1,493,490,776.77"
,,TextEdit,Untitled 6,"1,493,490,750.81","1,493,490,751.84"
,,TextEdit,Untitled 6,"1,493,490,753.91","1,493,490,755.98"
,,TextEdit,Untitled 4,"1,493,490,759.09","1,493,490,760.13"
,,TextEdit,proposal.txt,"1,493,490,761.17","1,493,490,763.25"
,,TextEdit,Untitled 3,"1,493,490,764.29","1,493,490,766.37"
,,TextEdit,Untitled 3,"1,493,490,769.49","1,493,490,772.61"
,,TextEdit,proposal.txt,"1,493,490,774.69","1,493,490,776.77"
,,Google Chrome,,"1,493,490,777.80","1,493,490,786.10"
,,Google Chrome,Don't get Git branches displayed in Finder? | Treehouse Community,"1,493,490,777.80","1,493,490,779.88"
Paper,,Google Chrome,,"1,493,490,777.80","1,493,490,786.10"
,,Google Chrome,michaelpalumbo/AppTracking: Records the front most application title to a log,"1,493,490,780.91","1,493,490,784.03"
,,TextEdit,,"1,493,490,787.13","1,493,491,333.26"
,,TextEdit,proposal.txt,"1,493,490,787.13","1,493,491,333.26"
Paper,,TextEdit,,"1,493,490,787.13","1,493,491,333.26"
TextEdit,,,,"1,493,490,787.13","1,493,491,333.26"
TextEdit,,TextEdit,,"1,493,490,787.13","1,493,491,333.26"
,,Terminal,,"1,493,491,334.30","1,493,491,385.22"
,,Terminal,paper — bash — 80×24,"1,493,491,334.30","1,493,491,377.95"
Terminal,,,,"1,493,491,334.30","1,493,491,385.22"
Terminal,,Terminal,,"1,493,491,334.30","1,493,491,385.22"
Paper,,Terminal,,"1,493,491,334.30","1,493,491,385.22"
,,Terminal,paper — git — 80×24,"1,493,491,380.03","1,493,491,381.06"
,,Terminal,paper — bash — 80×24,"1,493,491,382.10","1,493,491,385.22"
,,Google Chrome,,"1,493,491,386.26","1,493,491,396.63"
,,Google Chrome,Branches · michaelpalumbo/paper,"1,493,491,386.26","1,493,491,388.32"
Paper,,Google Chrome,,"1,493,491,386.26","1,493,491,396.63"
,,Google Chrome,michaelpalumbo/paper,"1,493,491,389.36","1,493,491,396.63"
,,TextEdit,,"1,493,491,397.67","1,493,491,400.79"
,,TextEdit,proposal.txt,"1,493,491,397.67","1,493,491,400.79"
Paper,,TextEdit,,"1,493,491,397.67","1,493,491,400.79"
TextEdit,,,,"1,493,491,397.67","1,493,491,400.79"
TextEdit,,TextEdit,,"1,493,491,397.67","1,493,491,400.79"
,,TextEdit,,"1,493,491,402.88","1,493,492,387.72"
,,TextEdit,proposal.txt,"1,493,491,402.88","1,493,492,387.72"
Paper,,TextEdit,,"1,493,491,402.88","1,493,492,387.72"
TextEdit,,,,"1,493,491,402.88","1,493,492,387.72"
TextEdit,,TextEdit,,"1,493,491,402.88","1,493,492,387.72"
,,Terminal,,"1,493,492,388.76","1,493,492,449.03"
,,Terminal,paper — bash — 80×24,"1,493,492,388.76","1,493,492,449.03"
Terminal,,,,"1,493,492,388.76","1,493,492,449.03"
Terminal,,Terminal,,"1,493,492,388.76","1,493,492,449.03"
Paper,,Terminal,,"1,493,492,388.76","1,493,492,449.03"
,,TextEdit,,"1,493,492,450.07","1,493,492,737.40"
,,TextEdit,proposal.txt,"1,493,492,450.07","1,493,492,737.40"
Paper,,TextEdit,,"1,493,492,450.07","1,493,492,737.40"
TextEdit,,,,"1,493,492,450.07","1,493,492,737.40"
TextEdit,,TextEdit,,"1,493,492,450.07","1,493,492,737.40"
,,Terminal,,"1,493,492,738.43","1,493,492,821.47"
,,Terminal,paper — bash — 80×24,"1,493,492,738.43","1,493,492,795.51"
Terminal,,,,"1,493,492,738.43","1,493,492,821.47"
Terminal,,Terminal,,"1,493,492,738.43","1,493,492,821.47"
Paper,,Terminal,,"1,493,492,738.43","1,493,492,821.47"
,,Terminal,paper — git — 80×24,"1,493,492,797.58","1,493,492,798.62"
,,Terminal,paper — bash — 80×24,"1,493,492,799.65","1,493,492,806.92"
,,Terminal,paper — less — 80×24,"1,493,492,807.95","1,493,492,821.47"
,,Google Chrome,,"1,493,492,822.51","1,493,492,844.30"
Paper,,Google Chrome,,"1,493,492,822.51","1,493,492,844.30"
,,Google Chrome,New Tab,"1,493,492,823.54","1,493,492,826.65"
,,Google Chrome,how to quit git log - Google Search,"1,493,492,827.69","1,493,492,830.80"
,,Google Chrome,How to exit git log? - Stack Overflow,"1,493,492,831.85","1,493,492,844.30"
,,Terminal,,"1,493,492,845.34","1,493,492,847.42"
Terminal,,,,"1,493,492,845.34","1,493,492,847.42"
Terminal,,Terminal,,"1,493,492,845.34","1,493,492,847.42"
Paper,,Terminal,,"1,493,492,845.34","1,493,492,847.42"
,,Terminal,paper — bash — 80×24,"1,493,492,846.38","1,493,492,847.42"
,,TextEdit,,"1,493,492,848.45","1,493,492,881.68"
Paper,,TextEdit,,"1,493,492,848.45","1,493,492,881.68"
TextEdit,,,,"1,493,492,848.45","1,493,492,881.68"
TextEdit,,TextEdit,,"1,493,492,848.45","1,493,492,881.68"
,,TextEdit,Save,"1,493,492,850.52","1,493,492,870.27"
,,TextEdit,how-to-git.txt,"1,493,492,871.31","1,493,492,881.68"
,,Finder,,"1,493,492,882.73","1,493,492,903.50"
,,Finder,mp,"1,493,492,882.73","1,493,492,888.96"
Finder,,,,"1,493,492,882.73","1,493,492,903.50"
Finder,,Finder,,"1,493,492,882.73","1,493,492,903.50"
Paper,,Finder,,"1,493,492,882.73","1,493,492,903.50"
,,Finder,paper,"1,493,492,890.00","1,493,492,896.23"
,,Finder,Trash,"1,493,492,897.27","1,493,492,898.30"
,,Terminal,,"1,493,492,904.54","1,493,492,952.33"
,,Terminal,paper — bash — 80×24,"1,493,492,904.54","1,493,492,942.95"
Terminal,,,,"1,493,492,904.54","1,493,492,952.33"
Terminal,,Terminal,,"1,493,492,904.54","1,493,492,952.33"
Paper,,Terminal,,"1,493,492,904.54","1,493,492,952.33"
,,Terminal,paper — git — 80×24,"1,493,492,945.03","1,493,492,946.07"
,,Terminal,paper — bash — 80×24,"1,493,492,947.12","1,493,492,952.33"
,,TextEdit,,"1,493,492,954.39","1,493,493,031.16"
Paper,,TextEdit,,"1,493,492,954.39","1,493,493,031.16"
TextEdit,,,,"1,493,492,954.39","1,493,493,031.16"
TextEdit,,TextEdit,,"1,493,492,954.39","1,493,493,031.16"
,,TextEdit,proposal.txt,"1,493,492,955.43","1,493,493,031.16"
,,Terminal,,"1,493,493,032.20","1,493,493,061.27"
,,Terminal,paper — bash — 80×24,"1,493,493,032.20","1,493,493,033.24"
Terminal,,,,"1,493,493,032.20","1,493,493,061.27"
Terminal,,Terminal,,"1,493,493,032.20","1,493,493,061.27"
Paper,,Terminal,,"1,493,493,032.20","1,493,493,061.27"
,,Terminal,paper — less — 80×24,"1,493,493,034.27","1,493,493,061.27"
,,Google Chrome,,"1,493,493,062.31","1,493,493,072.67"
Paper,,Google Chrome,,"1,493,493,062.31","1,493,493,072.67"
,,Google Chrome,New Tab,"1,493,493,063.35","1,493,493,065.42"
,,Google Chrome,git log get pointer - Google Search,"1,493,493,066.46","1,493,493,072.67"
,,TextEdit,,"1,493,493,074.75","1,493,493,320.65"
,,TextEdit,proposal.txt,"1,493,493,074.75","1,493,493,320.65"
Paper,,TextEdit,,"1,493,493,074.75","1,493,493,320.65"
TextEdit,,,,"1,493,493,074.75","1,493,493,320.65"
TextEdit,,TextEdit,,"1,493,493,074.75","1,493,493,320.65"
,,Google Chrome,,"1,493,493,321.69","1,493,493,353.91"
,,Google Chrome,michaelpalumbo/paper,"1,493,493,321.69","1,493,493,325.84"
Paper,,Google Chrome,,"1,493,493,321.69","1,493,493,353.91"
,,Google Chrome,paper/proposal.txt at master · michaelpalumbo/paper,"1,493,493,326.88","1,493,493,328.95"
,,Google Chrome,History for proposal.txt - michaelpalumbo/paper,"1,493,493,330.02","1,493,493,333.13"
,,Google Chrome,michaelpalumbo/paper,"1,493,493,334.16","1,493,493,336.23"
,,Google Chrome,michaelpalumbo/paper at proposal,"1,493,493,337.28","1,493,493,340.38"
,,Google Chrome,paper/proposal.txt at proposal · michaelpalumbo/paper,"1,493,493,341.42","1,493,493,343.50"
,,Google Chrome,History for proposal.txt - michaelpalumbo/paper,"1,493,493,344.54","1,493,493,346.62"
,,Google Chrome,wrote a brief reflection on how more frequent commits is leading to a… · michaelpalumbo/paper@b526cf4,"1,493,493,347.66","1,493,493,353.91"
,,TextEdit,,"1,493,493,354.94","1,493,493,364.28"
,,TextEdit,proposal.txt,"1,493,493,354.94","1,493,493,364.28"
Paper,,TextEdit,,"1,493,493,354.94","1,493,493,364.28"
TextEdit,,,,"1,493,493,354.94","1,493,493,364.28"
TextEdit,,TextEdit,,"1,493,493,354.94","1,493,493,364.28"
,,Google Chrome,,"1,493,493,365.32","1,493,493,379.83"
,,Google Chrome,wrote a brief reflection on how more frequent commits is leading to a… · michaelpalumbo/paper@b526cf4,"1,493,493,365.32","1,493,493,374.65"
Paper,,Google Chrome,,"1,493,493,365.32","1,493,493,379.83"
,,Google Chrome,The world's leading software development platform · GitHub,"1,493,493,375.68","1,493,493,377.76"
,,Google Chrome,wrote a brief reflection on how more frequent commits is leading to a… · michaelpalumbo/paper@b526cf4 · GitHub,"1,493,493,378.79","1,493,493,379.83"
,,TextEdit,,"1,493,493,380.87","1,493,493,946.63"
,,TextEdit,proposal.txt,"1,493,493,380.87","1,493,493,946.63"
Paper,,TextEdit,,"1,493,493,380.87","1,493,493,946.63"
TextEdit,,,,"1,493,493,380.87","1,493,493,946.63"
TextEdit,,TextEdit,,"1,493,493,380.87","1,493,493,946.63"
,,Dictionary,,"1,493,493,947.67","1,493,493,958.06"
